Mangrove Assessment Criteria,Mangroves Present Absent,Mangrove,,,
Mangrove Assessment Criteria,Mangroves Present Absent,No Mangrove,,,
Mangrove Assessment Criteria,Components,Dominant Canopy,,,
Mangrove Assessment Criteria,Components,Fringe Edge,,,
Mangrove Assessment Criteria,Components,Emergent Trees,,,
Mangrove Assessment Criteria,Components,Saplings,,,
Mangrove Assessment Criteria,Components,Seedlings,,,
Mangrove Assessment Criteria,Species,Acanthus ebracteatus ,,,
Mangrove Assessment Criteria,Species,Acanthus ilicifolius ,,,
Mangrove Assessment Criteria,Species,Avicennia alba ,,,
Mangrove Assessment Criteria,Species,Avicennia bicolor,,,
Mangrove Assessment Criteria,Species,Avicennia germinans,,,
Mangrove Assessment Criteria,Species,Avicennia integra,,,
Mangrove Assessment Criteria,Species,Avicennia marina,,,
Mangrove Assessment Criteria,Species,Avicennia officinalis,,,
Mangrove Assessment Criteria,Species,Avicennia rumphiana,,,
Mangrove Assessment Criteria,Species,Avicennia schaueriana,,,
Mangrove Assessment Criteria,Species,Nypa fruticans ,,,
Mangrove Assessment Criteria,Species,Dolichandrone spathacea ,,,
Mangrove Assessment Criteria,Species,Tabebuia palustris,,,
Mangrove Assessment Criteria,Species,Camptostemon philippinense ,,,
Mangrove Assessment Criteria,Species,Camptostemon schultzii,,,
Mangrove Assessment Criteria,Species,Cynometra iripa ,,,
Mangrove Assessment Criteria,Species,Mora oleifera,,,
Mangrove Assessment Criteria,Species,Muellera moniliformis,,,
Mangrove Assessment Criteria,Species,Lumnitzera littorea ,,,
Mangrove Assessment Criteria,Species,Lumnitzera racemosa ,,,
Mangrove Assessment Criteria,Species,Lumnitzera X rosea ,,,
Mangrove Assessment Criteria,Species,Laguncularia racemosa,,,
Mangrove Assessment Criteria,Species,Conocarpus erectus,,,
Mangrove Assessment Criteria,Species,Diospyros littorea ,,,
Mangrove Assessment Criteria,Species,Excoecaria agallocha,,,
Mangrove Assessment Criteria,Species,Barringtonia racemosa ,,,
Mangrove Assessment Criteria,Species,Crenea patentinervis,,,
Mangrove Assessment Criteria,Species,Pemphis acidula,,,
Mangrove Assessment Criteria,Species,Sonneratia alba ,,,
Mangrove Assessment Criteria,Species,Sonneratia apetala,,,
Mangrove Assessment Criteria,Species,Sonneratia caseolaris,,,
Mangrove Assessment Criteria,Species,Sonneratia griffithi,,,
Mangrove Assessment Criteria,Species,Sonneratia X gulngai ,,,
Mangrove Assessment Criteria,Species,Sonneratia X hainanensis,,,
Mangrove Assessment Criteria,Species,Sonneratia lanceolata ,,,
Mangrove Assessment Criteria,Species,Sonneratia ovata,,,
Mangrove Assessment Criteria,Species,Sonneratia X urama ,,,
Mangrove Assessment Criteria,Species,Brownlowia tersa,,,
Mangrove Assessment Criteria,Species,Heritiera fomes ,,,
Mangrove Assessment Criteria,Species,Heritiera littoralis,,,
Mangrove Assessment Criteria,Species,Pavonia paludicola,,,
Mangrove Assessment Criteria,Species,Pavonia rhizophorae,,,
Mangrove Assessment Criteria,Species,Xylocarpus granatum,,,
Mangrove Assessment Criteria,Species,Xylocarpus moluccensis,,,
Mangrove Assessment Criteria,Species,Aegiceras corniculatum ,,,
Mangrove Assessment Criteria,Species,Aegiceras floridum,,,
Mangrove Assessment Criteria,Species,Osbornia octodonta ,,,
Mangrove Assessment Criteria,Species,Pelliciera rhizophorae,,,
Mangrove Assessment Criteria,Species,Aegialitis annulata ,,,
Mangrove Assessment Criteria,Species,Aegialitis rotundifolia,,,
Mangrove Assessment Criteria,Species,Acrostichum aureum ,,,
Mangrove Assessment Criteria,Species,Acrostichum speciosum,,,
Mangrove Assessment Criteria,Species,Acrostichum danaeifolium,,,
Mangrove Assessment Criteria,Species,Bruguiera cylindrica ,,,
Mangrove Assessment Criteria,Species,Bruguiera exaristata ,,,
Mangrove Assessment Criteria,Species,Bruguiera gymnorhiza ,,,
Mangrove Assessment Criteria,Species,Bruguiera hainesii,,,
Mangrove Assessment Criteria,Species,Bruguiera parviflora ,,,
Mangrove Assessment Criteria,Species,Bruguiera X rhynchopetala ,,,
Mangrove Assessment Criteria,Species,Bruguiera sexangula ,,,
Mangrove Assessment Criteria,Species,Ceriops australis ,,,
Mangrove Assessment Criteria,Species,Ceriops decandra ,,,
Mangrove Assessment Criteria,Species,Ceriops pseudodecandra,,,
Mangrove Assessment Criteria,Species,Ceriops tagal ,,,
Mangrove Assessment Criteria,Species,Ceriops zippeliana,,,
Mangrove Assessment Criteria,Species,Kandelia candel,,,
Mangrove Assessment Criteria,Species,Kandelia obovata,,,
